year,mfr,division,carline,mfrid,index,displ,cyl,trans,citympg,highwaympg,combmpg,aspir,trans2,gears,drivesys,fuel,class,car_truck,fe_rating,ghg_rating,smog_rating
2018,Volkswagen Group of,Bugatti,Chiron,VGA,38,8,16,Auto(AM-S7),9,14,11,TC,AMS,7,A,GPR,Two Seaters,car,1,1,5
2018,General Motors,Chevrolet,CORVETTE,GMX,278,6.2,8,Auto(S8),15,25,18,NA,SA,8,R,GPR,Two Seaters,car,3,3,1
2018,General Motors,Chevrolet,CORVETTE,GMX,223,6.2,8,Auto(S8),13,23,16,SC,SA,8,R,GPR,Two Seaters,car,2,2,1
2018,General Motors,Chevrolet,CORVETTE,GMX,285,6.2,8,Manual(M7),15,22,18,SC,M,7,R,GPR,Two Seaters,car,3,3,1
2018,General Motors,Chevrolet,CORVETTE,GMX,276,6.2,8,Manual(M7),16,25,19,NA,M,7,R,GPR,Two Seaters,car,3,3,1
2018,Ferrari,"Ferrari North America, Inc.",488 gtb,FEX,142,3.9,8,Auto(AM7),15,22,18,TC,AM,7,R,GPR,Two Seaters,car,3,3,3
2018,Ferrari,"Ferrari North America, Inc.",488 gtb,FEX,143,3.9,8,Auto(AM7),16,22,18,TC,AM,7,R,GPR,Two Seaters,car,3,3,3
2018,Ferrari,"Ferrari North America, Inc.",488 Spider,FEX,145,3.9,8,Auto(AM7),16,22,18,TC,AM,7,R,GPR,Two Seaters,car,3,3,3
2018,Ferrari,"Ferrari North America, Inc.",488 Spider,FEX,144,3.9,8,Auto(AM7),15,22,18,TC,AM,7,R,GPR,Two Seaters,car,3,3,3
2018,Ferrari,"Ferrari North America, Inc.",812 Superfast,FEX,154,6.5,12,Auto(AM7),12,16,13,NA,AM,7,R,GPR,Two Seaters,car,1,1,3
2018,Jaguar Land Rover L,Jaguar,F-TYPE Convertible,JLX,161,3,6,Auto(S8),20,28,23,SC,SA,8,R,GP,Two Seaters,car,5,5,7
2018,Jaguar Land Rover L,Jaguar,F-TYPE Convertible Manual,JLX,171,3,6,Manual(M6),16,24,19,SC,M,6,R,GP,Two Seaters,car,3,3,7
2018,Jaguar Land Rover L,Jaguar,F-TYPE Coupe,JLX,160,3,6,Auto(S8),20,28,23,SC,SA,8,R,GP,Two Seaters,car,5,5,7
2018,Jaguar Land Rover L,Jaguar,F-TYPE Coupe Manual,JLX,170,3,6,Manual(M6),16,24,19,SC,M,6,R,GP,Two Seaters,car,3,3,7
2018,Jaguar Land Rover L,Jaguar,F-TYPE R AWD Convertible,JLX,159,5,8,Auto(S8),15,23,18,SC,SA,8,A,GP,Two Seaters,car,3,3,3
2018,Jaguar Land Rover L,Jaguar,F-TYPE R AWD Coupe,JLX,158,5,8,Auto(S8),15,23,18,SC,SA,8,A,GP,Two Seaters,car,3,3,3
2018,Jaguar Land Rover L,Jaguar,F-TYPE S AWD Convertible,JLX,165,3,6,Auto(S8),18,26,21,SC,SA,8,A,GP,Two Seaters,car,4,4,7
2018,Jaguar Land Rover L,Jaguar,F-TYPE S AWD Coupe,JLX,164,3,6,Auto(S8),18,26,21,SC,SA,8,A,GP,Two Seaters,car,4,4,7
2018,Jaguar Land Rover L,Jaguar,F-TYPE S Convertible,JLX,163,3,6,Auto(S8),19,27,22,SC,SA,8,R,GP,Two Seaters,car,4,4,7
2018,Jaguar Land Rover L,Jaguar,F-TYPE S Convertible Manual,JLX,173,3,6,Manual(M6),15,24,18,SC,M,6,R,GP,Two Seaters,car,3,3,7
2018,Jaguar Land Rover L,Jaguar,F-TYPE S Coupe,JLX,162,3,6,Auto(S8),19,27,22,SC,SA,8,R,GP,Two Seaters,car,4,4,7
2018,Jaguar Land Rover L,Jaguar,F-TYPE S Coupe Manual,JLX,172,3,6,Manual(M6),15,24,18,SC,M,6,R,GP,Two Seaters,car,3,3,7
2018,Volkswagen Group of,Lamborghini,Aventador Coupe,VGA,31,6.5,12,Auto(AM-S7),10,17,12,NA,AMS,7,A,GPR,Two Seaters,car,1,1,1
2018,Volkswagen Group of,Lamborghini,Aventador Roadster,VGA,33,6.5,12,Auto(AM-S7),10,16,12,NA,AMS,7,A,GPR,Two Seaters,car,1,1,1
2018,Volkswagen Group of,Lamborghini,Aventador S Coupe,VGA,30,6.5,12,Auto(AM-S7),10,17,12,NA,AMS,7,A,GPR,Two Seaters,car,1,1,1
2018,Volkswagen Group of,Lamborghini,Aventador S Roadster,VGA,32,6.5,12,Auto(AM-S7),10,16,12,NA,AMS,7,A,GPR,Two Seaters,car,1,1,1
2018,Mercedes-Benz,Mercedes-Benz,AMG GT (coupe),MBX,191,4,8,Auto(AM7),16,22,18,TC,AM,7,R,GPR,Two Seaters,car,3,3,5
2018,Mercedes-Benz,Mercedes-Benz,AMG GT (roadster),MBX,234,4,8,Auto(AM7),16,21,18,TC,AM,7,R,GPR,Two Seaters,car,3,3,5
2018,Mercedes-Benz,Mercedes-Benz,AMG GT S (coupe),MBX,190,4,8,Auto(AM7),16,22,18,TC,AM,7,R,GPR,Two Seaters,car,3,3,5
2018,Mercedes-Benz,Mercedes-Benz,AMG SLC 43,MBX,239,3,6,Auto(A9),20,29,23,TC,A,9,R,GPR,Two Seaters,car,5,5,5
2018,Mercedes-Benz,Mercedes-Benz,SLC 300,MBX,232,2,4,Auto(A9),25,32,27,TC,A,9,R,GPR,Two Seaters,car,6,6,3
2018,Nissan,NISSAN,370Z,NSX,56,3.7,6,Auto(S7),19,26,22,NA,SA,7,R,GPR,Two Seaters,car,4,4,3
2018,Nissan,NISSAN,370Z,NSX,57,3.7,6,Manual(M6),18,26,21,NA,M,6,R,GPR,Two Seaters,car,4,4,3
